Country,Year,CO2_Emissions
Turkmenistan,2021,0.8535967557
Trinidad and Tobago,2021,0.844780167
Curacao,2021,0.6699303942
Mongolia,2021,0.6409687884
New Caledonia,2021,0.6241125595
Oman,2021,0.6157369607
South Africa,2021,0.5526152919
Syria,2021,0.5482710352
Iran,2021,0.5435404531
Bahrain,2021,0.5188357345
