Decade,CO2_Emissions,Percentage_Increase
1970-1979,48645.017768,
1980-1989,48250.295949,-0.8114331890729742
1990-1999,54058.102241,12.036830402322884
2000-2009,58352.628717,7.944279021957312
2010-2021,56527.364353,-3.127989953721222
