Decade,CO2_Emissions,Percentage_Increase
1970-1979,33033.941176707674,
1980-1989,39306.97646010333,18.98966656699985
1990-1999,50300.283197154225,27.967825885079534
2000-2009,63589.5703897664,26.419905312509307
2010-2021,83468.63537312446,31.26151798402028
