Decade,CO2_Emissions,Percentage_Increase
1970-1979,11812.7507523,
1980-1989,19037.995184,61.16479203874854
1990-1999,30997.971607,62.821617021163334
2000-2009,59649.368652,92.4299093122916
2010-2021,119434.742076,100.22800706038227
