Country,Year,CO2_Emissions
Austria,2021,0.1366216642
Germany,2021,0.1513337398
Denmark,2021,0.08005034593
Estonia,2021,0.2934917551
Finland,2021,0.1437816924
United Kingdom,2021,0.1086656591
Luxembourg,2021,0.1113645842
Norway,2021,0.1191483723
Sweden,2021,0.07043871133
