Decade,CO2_Emissions,Percentage_Increase
1970-1979,1825.8920093000002,
1980-1989,4036.3623133,121.06248851198144
1990-1999,9990.8746361,147.52175004656064
2000-2009,22915.025503,129.35955396939124
2010-2021,49226.312825,114.82111297914707
