Decade,CO2_Emissions,Percentage_Increase
1970-1979,47240.78850810926,
1980-1989,61457.660126906616,30.094484168817193
1990-1999,82461.61979510509,34.17630873812389
2000-2009,107450.43443305194,30.30356995173915
2010-2021,148426.65193083408,38.134994720112346
