Decade,CO2_Emissions,Percentage_Increase
1970-1979,13315.125612,
1980-1989,16443.293228,23.493339132909096
1990-1999,21981.330585,33.67961198654361
2000-2009,24534.504538,11.615192916220817
2010-2021,21702.241367,-11.543999866038801
